function,equanimity_subsets,equanimity_subsets_normalized,equanimity_importance,entanglement
00110111010001,-3.0638,0.533854,0.4375,6
0001101111110001,-2.2513,0.572917,0.5,6
010111001110011,-2.02214,0.598958,0.5625,8
111011100111,-3.0638,0.533854,0.4375,6
0111100110101001,-1.20964,0.638021,0.625,7
110001101010111,-2.83464,0.559896,0.5,8
0110000010110101,-2.6888,0.580729,0.5625,7
11110101011101,-4.29688,0.511719,0.375,7
11011010000101,-2.02214,0.598958,0.5625,8
0101110011010001,-3.16667,0.544271,0.5,8
1100100000001,-3.04167,0.622396,0.3125,6
0101101100100101,-2.125,0.609375,0.625,7
011110111010101,-3.23438,0.554688,0.4375,7
0010000101010001,-2.65755,0.611979,0.4375,7
01100101101111,-1.29297,0.632812,0.625,8
1000110110111111,-2.88672,0.585938,0.375,6
001100101100011,-1.4388,0.611979,0.5625,7
0100100010111001,-2.02214,0.598958,0.5625,8
111010001100111,-4.3138,0.502604,0.4375,7
101001110010111,-2.83464,0.559896,0.5,8
1110100011001001,-3.16667,0.544271,0.5,6
1001011011100001,-0.9375,0.683594,0.8125,7
100011000110011,-2.02214,0.598958,0.5625,6
1010111010000001,-2.83464,0.559896,0.5,8
001100001101111,-2.91667,0.548177,0.5,6
001001001111111,-3.64714,0.520833,0.4375,7
100111010001001,-2.02214,0.598958,0.5625,8
0111001100001,-2.90104,0.563802,0.4375,7
111110010011001,-3.5013,0.541667,0.5,6
010100010100001,-2.07422,0.625,0.4375,7
0101001,-1.72005,0.729167,0.3125,6
10111111101,-4.45964,0.481771,0.375,6
010000001010101,-2.88672,0.585938,0.375,5
011010111101101,-1.21354,0.657552,0.625,7
101010001010101,-5.85547,0.429688,0.3125,5
00111101011111,-1.50521,0.615885,0.5,6
010010000011101,-1.83854,0.606771,0.5,8
101001010010101,-2.02214,0.598958,0.5625,6
10010111110001,-2.10417,0.58724,0.5625,8
1010101101111,-2.02214,0.598958,0.5625,8
0111100100100101,-1.875,0.613281,0.625,8
0010111100110101,-3.0638,0.533854,0.4375,6
0101100100011,-1.83854,0.606771,0.5,6
0100001101001001,-1.60938,0.632812,0.5625,7
10000100011111,-2.6888,0.580729,0.5625,7
1100111001110111,-1.49089,0.638021,0.4375,6
011100111001011,-1.8138,0.635417,0.6875,7
0010000110101101,-2.2513,0.572917,0.5,6
1110000101001,-1.85938,0.628906,0.5625,8
0010010000111001,-1.60938,0.632812,0.5625,8
1101100110110111,-1.11589,0.684896,0.5625,6
111010001011011,-2.6263,0.596354,0.625,6
0110100000010011,-1.21354,0.657552,0.625,7
10010111000001,-3.00521,0.580729,0.5,7
0001010110110111,-3.64714,0.520833,0.4375,6
10110100110111,-2.83464,0.559896,0.5,8
000000101001111,-3.00521,0.580729,0.5,7
101010110100011,-2.10417,0.58724,0.5625,6
0001000001001101,-2.74089,0.606771,0.4375,7
011110011001001,-1.75,0.644531,0.75,7
101111001110011,-1.85938,0.628906,0.5625,8
101010001110001,-4.23047,0.507812,0.4375,7
0111100101011,-2.10417,0.58724,0.5625,6
0010011000001011,-3.00521,0.580729,0.5,7
1001010111011111,-2.65755,0.611979,0.4375,7
00110110010011,-1.52214,0.606771,0.5625,7
1111010100011101,-2.90104,0.563802,0.4375,7
0101010010111111,-2.90104,0.563802,0.4375,7
010111000001011,-2.10547,0.59375,0.5625,8
0011010101001101,-2.91667,0.548177,0.5,7
0010100001101101,-2.02214,0.598958,0.5625,6
0011110011101101,-1.60938,0.632812,0.5625,7
0100010011000001,-2.65755,0.611979,0.4375,7
1100000111000101,-3.0638,0.533854,0.4375,6
1001111011110011,-1.11589,0.684896,0.5625,6
1011010011011011,-1.38021,0.658854,0.625,6
01011111010001,-4.79167,0.466146,0.375,6
1101011010001001,-1.47917,0.638021,0.6875,8
110101101000011,-1.54167,0.622396,0.625,7
0101111110011111,-2.5625,0.652344,0.375,5
1111100011101101,-2.65755,0.611979,0.4375,7
0100001010010011,-1.60938,0.632812,0.5625,8
11000000011011,-3.00521,0.580729,0.5,7
111010111001101,-2.60938,0.605469,0.5625,7
0100100000110001,-1.26172,0.664062,0.5,6
1100001010100011,-2.2513,0.572917,0.5,8
10000111100011,-2.83464,0.559896,0.5,6
011010011010001,-1.8138,0.635417,0.6875,7
1110011000011011,-1.20964,0.638021,0.625,7
100100111001101,-1.77083,0.596354,0.5625,7
1011101010111,-4.45964,0.481771,0.375,6
1111001111011111,-1.13672,0.742188,0.3125,6
0011101000111111,-3.71354,0.52474,0.375,5
11110110111101,-3.47005,0.572917,0.375,6
0010000100010101,-2.74089,0.606771,0.4375,7
1111111010001011,-2.65755,0.611979,0.4375,7
1000111100001001,-4.3138,0.502604,0.4375,7
0100100011011001,-2.83464,0.559896,0.5,7
10110011001011,-2.10417,0.58724,0.5625,6
001011100101101,-1.77083,0.596354,0.5625,7
100001110100111,-2.6875,0.574219,0.5625,7
111111101111001,-3.04167,0.622396,0.3125,6
11110011011001,-2.83464,0.559896,0.5,7
1001111001000011,-1.47917,0.638021,0.6875,8
0101010001100011,-2.10547,0.59375,0.5625,6
0000010000100101,-1.97917,0.665365,0.375,6
01011010010111,-2,0.570312,0.5,7
0010000000001111,-2.88672,0.585938,0.375,5
1110110110101,-3.64714,0.520833,0.4375,6
101000010111011,-1.875,0.613281,0.625,8
1110101101111,-1.85938,0.628906,0.5625,8
11111110100101,-3.00521,0.580729,0.5,7
011010011100101,-1.47917,0.638021,0.6875,8
101111010000001,-3.41797,0.546875,0.5,7
